,year_make,model_trim,price,state,miles,source
282, 2016 Audi Q5, quattro 4dr 3.0T Premium Plus ,25499,WA,72000.0,autonation
283, 2015 Audi Q7, quattro 4dr 3.0T S line Prestige ,23395,WA,105000.0,autonation
284, 2018 Audi SQ5, 3.0 TFSI Premium Plus ,46998,WA,26000.0,autonation
285, 2019 Audi Q5, Premium 45 TFSI quattro ,34998,WA,28000.0,autonation
286, 2019 Audi Q5, Premium 45 TFSI quattro ,34998,WA,32000.0,autonation
287, 2019 Audi Q7, Premium Plus 45 TFSI quattro ,43998,WA,15000.0,autonation
288, 2017 Audi SQ5, 3.0 TFSI Premium Plus ,39898,WA,24000.0,autonation
289, 2015 Audi Q5, quattro 4dr 2.0T Premium Plus ,22995,WA,61000.0,autonation
290, 2013 Audi Q5, quattro 4dr 2.0T Premium Plus ,18500,CA,75000.0,autonation
291, 2017 Audi Q5, 2.0 TFSI Premium Plus ,25480,CA,61000.0,autonation
292, 2009 Audi Q7, quattro 4dr 3.6L Premium ,11499,CA,136000.0,autonation
293, 2018 Audi Q5, 2.0 TFSI Premium Plus ,35495,CA,31000.0,autonation
294, 2019 Audi Q5, Premium Plus 45 TFSI quattro ,39695,CA,10000.0,autonation
295, 2015 Audi Q5, quattro 4dr 2.0T Premium Plus ,21000,CA,68000.0,autonation
296, 2018 Audi Q7, 3.0 TFSI Premium ,41987,CA,26000.0,autonation
297, 2016 Audi Q5, quattro 4dr 2.0T Premium Plus ,26498,CA,42000.0,autonation
298, 2014 Audi SQ5, quattro 4dr 3.0T Premium Plus ,21985,CA,92000.0,autonation
299, 2016 Audi Q5, quattro 4dr 2.0T Premium Plus ,24495,CA,59000.0,autonation
300, 2016 Audi Q5, quattro 4dr 2.0T Premium ,21995,CA,61000.0,autonation
301, 2019 Audi Q5, Premium Plus 45 TFSI quattro ,40991,CA,10000.0,autonation
302, 2018 Audi Q7, 3.0 TFSI Prestige ,53485,CA,14000.0,autonation
303, 2016 Audi Q3, FrontTrak 4dr Premium Plus ,21998,CA,66000.0,autonation
304, 2015 Audi Q7, quattro 4dr 3.0T S line Prestige ,28950,CA,66000.0,autonation
305, 2014 Audi Q5, quattro 4dr 2.0T Premium Plus ,14595,CA,131000.0,autonation
306, 2015 Audi Q3, FrontTrak 4dr 2.0T Premium Plus ,17929,CA,68000.0,autonation
307, 2017 Bentley Bentayga, W12 AWD ,139899,WA,33000.0,autonation
308, 2017 BMW X1, xDrive28i Sports Activity Vehicle ,24695,MD,53000.0,autonation
309, 2021 BMW X3 M, Sports Activity Vehicle ,77498,MD,3000.0,autonation
310, 2018 BMW X5, xDrive35d Sports Activity Vehicle ,44429,NY,30000.0,autonation
311, 2017 BMW X5, xDrive35i Sports Activity Vehicle ,35495,NY,33000.0,autonation
