,year_make,model_trim,price,state,miles,source,type
268, 2017 Audi A4, 2.0 TFSI Auto Premium quattro AWD ,24698,WA,52000.0,autonation,sedan
269, 2016 Audi A7, 4dr HB quattro 3.0 Premium Plus ,38498,WA,35000.0,autonation,sedan
270, 2018 Audi A3 Sedan, 2.0 TFSI Tech Premium quattro AWD ,26998,WA,26000.0,autonation,sedan
271, 2017 Audi A7, 3.0 TFSI Premium Plus ,41982,WA,31000.0,autonation,sedan
272, 2018 Audi A3 Sedan, 2.0 TFSI Premium quattro AWD ,27967,WA,16000.0,autonation,sedan
273, 2020 Audi S3 Sedan, S line Premium Plus 2.0 TFSI quattro ,43997,WA,15000.0,autonation,sedan
274, 2020 Audi S3 Sedan, S line Premium Plus 2.0 TFSI quattro ,42990,WA,7000.0,autonation,sedan
275, 2015 Audi A6, 4dr Sdn quattro 2.0T Premium Plus ,21685,WA,48000.0,autonation,sedan
276, 2018 Audi A4, 2.0 TFSI Premium Plus S Tronic quattro AWD ,32898,WA,22000.0,autonation,sedan
277, 2014 Audi A4, 4dr Sdn Auto quattro 2.0T Premium Plus ,13991,WA,114000.0,autonation,sedan
278, 2016 Audi RS 7, 4dr HB Prestige ,58995,WA,68000.0,autonation,sedan
279, 2015 Audi A6, 4dr Sdn quattro 2.0T Premium Plus ,21980,CA,69000.0,autonation,sedan
280, 2019 Audi A6, Premium 55 TFSI quattro ,46980,CA,10000.0,autonation,sedan
281, 2016 Audi S6, 4dr Sdn Premium Plus ,44980,CA,19000.0,autonation,sedan
282, 2015 Audi A3, 4dr Sdn FWD 1.8T Premium Plus ,15800,CA,105000.0,autonation,sedan
283, 2014 Audi A4, 4dr Sdn Man quattro 2.0T Premium ,13980,CA,120000.0,autonation,sedan
284, 2013 Audi A4, 4dr Sdn Auto quattro 2.0T Premium Plus ,11980,CA,144000.0,autonation,sedan
285, 2018 Audi A3 Sportback e-tron, 1.4 TFSI  PHEV Premium ,29360,CA,19000.0,autonation,sedan
286, 2019 Audi A5 Sportback, Premium 45 TFSI quattro ,29000,CA,46000.0,autonation,sedan
287, 2016 Audi A6, 4dr Sdn quattro 3.0T Premium Plus ,29495,CA,42000.0,autonation,sedan
288, 2018 Audi S4, 3.0 TFSI Premium Plus quattro AWD ,40890,CA,19000.0,autonation,sedan
289, 2006 Audi A4, 4dr Sdn 2.0T quattro Auto ,5888,CA,151000.0,autonation,sedan
290, 2013 Audi A6, 4dr Sdn quattro 3.0T Prestige ,19668,CA,83000.0,autonation,sedan
